Current Fee Category,Keyword's Recommended Seller Facing Fee Category,SPS Team Next Step for JP marketplace
Tools and Home Improvement,Electronic Accessories,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Electronic Accessories,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Electronic Accessories,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Eyewear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Footwear,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Full-Size Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Amazon Device Accessories,Automotive and Powersports,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Grocery and Gourmet,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Amazon Device Accessories,Baby Products,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Home and Kitchen Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Amazon Device Accessories,"Backpacks, Handbags, and Luggage","OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Jewelry,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,"Beauty, Health and Personal Care","OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Musical Instruments and AV Production,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Amazon Device Accessories,Beer,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Business, Industrial, and Scientific Supplies",Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Everything Else,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Furniture,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Home and Kitchen,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Mattresses,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
"Media - Books, DVD, Music, Software, Video",Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Tools and Home Improvement,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Video Games and Gaming Accessories,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Watches,Personal Care Appliances,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Amazon Device Accessories,Clothing and Accessories,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Office Products,Pet Products,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
Lawn and Garden,Pet Products,"OK to change fee category. Proceed with existing Paragon workflow and update current category found from BadCat Portal in field: “Enter the current category” and Recommended Fee category in the field: “Enter Seller Facing Fee Category” to make changes on BadCat Portal. If Orders were provided for refund, proceed with Paragon workflow provided instructions for refund."
